experiment_name,display_name,parallelism,machine_name,node_name,timestamp,gpu_utilization,memory_used_mib,power_draw_w,temperature_gpu_c
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:09.831,0,4,27.14,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:09.931,0,4,27.14,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:10.031,0,4,27.14,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:10.131,0,4,27.53,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:10.231,0,4,27.53,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:10.331,0,4,27.53,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:10.432,0,4,27.53,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:10.532,0,4,27.53,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:10.632,0,4,27.53,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:10.732,0,4,27.53,27
N1_tupi_none_long_r1_790478,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi2,tupi2,2026-05-31 04:57:10.832,0,4,27.53,27
